condition,agent_type,seed,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
reset_d10,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,3,100.0,100.0,100.0,18,5,8,1.0,1.0,1.0,0.9444444444444444,0.6,1.0,0.05555555555555555,0.4,0.0,0.05555555555555555,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
reset_d25,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d25,scripted,3,100.0,100.0,100.0,18,6,7,1.0,1.0,1.0,0.9444444444444444,0.16666666666666666,0.8571428571428571,0.05555555555555555,0.8333333333333334,0.14285714285714285,0.05555555555555555,0.8333333333333334,0.14285714285714285,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,1.0
reset_d50,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d50,scripted,3,100.0,100.0,100.0,18,7,7,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,1.0,0.05555555555555555,0.8571428571428571,0.0,0.05555555555555555,0.8571428571428571,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
reset_d100,dqn,3,57.166666666666664,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
reset_d100,scripted,3,100.0,100.0,100.0,18,7,7,1.0,1.0,1.0,0.9444444444444444,0.14285714285714285,1.0,0.05555555555555555,0.8571428571428571,0.0,0.05555555555555555,0.8571428571428571,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,4,100.0,100.0,33.33333333333333,80,21,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
no_crisis,scripted,4,100.0,100.0,100.0,19,2,8,1.0,1.0,1.0,0.8947368421052632,1.0,1.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
ordinary_disturbance,dqn,4,100.0,100.0,34.66666666666667,80,15,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ordinary_disturbance,scripted,4,100.0,100.0,100.0,19,2,9,1.0,1.0,1.0,0.8947368421052632,1.0,0.8888888888888888,0.10526315789473684,0.0,0.1111111111111111,0.10526315789473684,0.0,0.1111111111111111,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
cert_crisis_used_channel,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,4,100.0,100.0,100.0,19,12,7,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,0.42857142857142855,0.10526315789473684,0.5833333333333334,0.5714285714285714,0.10526315789473684,0.5833333333333334,0.5714285714285714,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,dqn,4,100.0,100.0,33.33333333333333,80,21,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07352941176470588,0.0,1.0,1.0,0.0,1.0,1.0,0.0
cert_crisis_unused_channel,scripted,4,100.0,100.0,100.0,19,5,12,1.0,1.0,1.0,0.8947368421052632,0.6,0.6666666666666666,0.10526315789473684,0.4,0.3333333333333333,0.10526315789473684,0.4,0.3333333333333333,0.0,0.0,0.0,0.10526315789473684,0.0,0.08333333333333333,1.0,1.0,1.0
reset_d10,dqn,4,100.0,100.0,34.66666666666667,80,17,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,1.0,0.9411764705882353,1.3333333333333333,1.0,1.0,0.0
reset_d10,scripted,4,100.0,100.0,100.0,19,3,6,1.0,1.0,1.0,0.8947368421052632,0.3333333333333333,1.0,0.10526315789473684,0.6666666666666666,0.0,0.10526315789473684,0.6666666666666666,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
reset_d25,dqn,4,100.0,100.0,66.66666666666666,80,13,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,1.0,1.0,1.0,1.0,1.0,1.0
reset_d25,scripted,4,100.0,100.0,100.0,19,11,6,1.0,1.0,1.0,0.8947368421052632,0.45454545454545453,1.0,0.10526315789473684,0.5454545454545454,0.0,0.10526315789473684,0.5454545454545454,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
