survival_pre,coop_pre,true_informed_pre,uncert_pre,survival_post1,coop_post1,true_informed_post1,uncert_post1,survival_late,coop_late,true_informed_late,uncert_late,regrowth,consume_gain,seed
100.0,18,1.0,0.0,100.0,3,1.0,0.0,0.0,0,0.0,0.0,0.6,15.0,0
100.0,27,0.9629629629629629,0.0,78.0,26,1.0,0.0,0.0,0,0.0,0.0,0.6,15.0,1
100.0,16,1.0,0.0,78.66666666666666,3,1.0,0.0,52.0,27,1.0,0.0,0.6,15.0,2
100.0,18,0.9444444444444444,0.0,78.0,23,1.0,0.0,33.33333333333333,0,0.0,0.0,0.6,15.0,3
100.0,21,1.0,0.0,100.0,5,0.8,0.0,0.0,0,0.0,0.0,0.6,15.0,4
100.0,20,1.0,0.0,100.0,18,0.9444444444444444,0.0,0.0,0,0.0,0.0,0.6,15.0,5
100.0,19,1.0,0.0,100.0,10,0.8,0.0,96.33333333333334,4,1.0,0.0,0.6,15.0,6
90.0,42,0.9523809523809523,0.0,54.0,1,1.0,0.0,0.0,0,0.0,0.0,0.6,15.0,7
100.0,19,0.9473684210526315,0.0,94.0,15,1.0,0.0,0.0,0,0.0,0.0,0.6,15.0,8
84.66666666666667,19,0.8947368421052632,0.0,66.66666666666666,2,1.0,0.0,0.0,0,0.0,0.0,0.6,15.0,9
