t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
138.20000000000002,0.5655620640158394,0.9233131240891449,0.12428537739935787,0.039321539829723834,0.3753878648026845,0.8581553911247756,0.1833078839056364,0.05931423628790941,0.42918294523285816,1.5,0.196,0.23527185800386366,0.21996494467362318
138.25,0.5654897082769371,0.9234276914655639,0.12407405461697482,0.03931303365575928,0.37516623341198346,0.8580454038695431,0.18321162423407245,0.059359884675465796,0.42895168967765546,1.5,0.196,0.2353239150217158,0.21999231357977458
138.3,0.5654174653228701,0.9235435095127501,0.12386356485359264,0.03930421180051886,0.37494468823308685,0.8579372085773884,0.18311641990394195,0.059404890633218126,0.42872057849492856,1.5,0.196,0.2353754736625228,0.22001903327636982
138.35,0.5653453620283139,0.9236605515172499,0.12365389747510974,0.0392950759744243,0.3747232305724859,0.8578307673240136,0.18302225155609517,0.05944925601890864,0.4284896136289533,1.5,0.196,0.2354265537341583,0.22004512737716
138.4,0.5652734248226546,0.9237787916802853,0.12344504197326922,0.039285627938628796,0.3745018616811212,0.8577260434115376,0.18292910003178178,0.05949298282445259,0.42825879694516183,1.5,0.196,0.2354771746872125,0.22007061908254585
138.45000000000002,0.5652016796909792,0.9238982050974861,0.12323698796465342,0.039275869502916845,0.37428058275553827,0.8576230013430068,0.1828369463721882,0.05953607317135051,0.42802813023167274,1.5,0.196,0.23552735561803292,0.22009553118276817
138.5,0.5651301521752374,0.9240187677389181,0.12302972518967373,0.03926580252364762,0.3740593949390274,0.857521606797241,0.18274577181792676,0.0595785293061807,0.4277976152008027,1.5,0.196,0.23557711527182248,0.22011988606118252
138.55,0.5650588673755702,0.9241404564294062,0.12282324351155575,0.03925542890174181,0.37383829932274765,0.8574218266040103,0.1826555578084782,0.059620353596172314,0.4275672534905585,1.5,0.196,0.23562647204579298,0.22014370569761543
138.6,0.5649878499517977,0.9242632488291486,0.12261753291532039,0.03924475058071169,0.37361729694683576,0.8573236287195463,0.182566285981589,0.05966154852485941,0.4273370466661103,1.5,0.196,0.2356754439923691,0.22016701167179692
138.65,0.5649171241250626,0.9243871234146208,0.12241258350676117,0.0392337695447342,0.37339638880149933,0.8572269822023828,0.1824779381726246,0.05970211668781583,0.42710699622124587,1.5,0.196,0.235724048822442,0.22018982516686555
