t,U,B1,T1,E1,P1,B2,T2,E2,P2,s,theta,F1,F2
51.1,0.328474527723257,0.13819186452491133,1.0,0.1822511328987143,0.8068603744603705,0.698361882718727,0.019897677545724687,0.004062881934290685,0.28069368229422703,1.5,0.196,0.10615765123817161,0.20457377746522187
51.150000000000006,0.3284882308100233,0.138209026197882,1.0,0.1822496866061457,0.8067596824969885,0.6985145018722836,0.019844283163067734,0.004055570862695625,0.28066432913661754,1.5,0.196,0.10615940603531973,0.2045851564265645
51.2,0.3285018762553354,0.13822611798819315,1.0,0.18224828174399144,0.806659083943299,0.6986667396966273,0.019791067112070855,0.0040482791397265915,0.2806349625113552,1.5,0.196,0.10616115300370152,0.20459647599563685
51.25,0.3285154638322445,0.1382431401695142,1.0,0.1822469175827647,0.8065585787382764,0.6988185957390585,0.019738028793109035,0.004041006712001741,0.28060558266021923,1.5,0.196,0.10616289202846656,0.2046077363536529
51.300000000000004,0.3285289933345791,0.13826009301190323,1.0,0.18224559339155874,0.8064581668214342,0.6989700695578692,0.019685167608546363,0.004033753526285711,0.28057618982398996,1.5,0.196,0.10616462300204497,0.20461893769232176
51.35,0.32854246457659597,0.13827697678195444,1.0,0.18224430843835193,0.8063578481327942,0.6991211607227495,0.019632482962728227,0.00402651952949056,0.2805467842424113,1.5,0.196,0.10616634582401104,0.20463008021356666
51.400000000000006,0.3285558773926318,0.1382937917429425,1.0,0.18224306199030693,0.8062576226128564,0.699271868815178,0.01957997426197347,0.004019304668676657,0.28051736615415396,1.5,0.196,0.10616806040094685,0.20464116412924616
51.45,0.328569231636754,0.13831053815496372,1.0,0.18224185331406384,0.8061574902025694,0.6994221934287981,0.0195276409145666,0.004012108891053537,0.28048793579677983,1.5,0.196,0.10616976664630692,0.20465218966087803
51.5,0.32858252718241215,0.13832721627507397,1.0,0.1822406816760272,0.8060574508433016,0.6995721341697791,0.01947548233074996,0.004004932143980714,0.2804584934067075,1.5,0.196,0.10617146448028303,0.20466315703936525
51.550000000000004,0.32859576392208945,0.13834382635742357,1.0,0.18223954634264708,0.8059575044768127,0.6997216906571636,0.019423497922715974,0.0039977743749684555,0.2804290392191789,1.5,0.196,0.10617315382966971,0.20467406650472492
51.6,0.32860894176695465,0.13836036865338897,1.0,0.18223844658069427,0.8058576510452259,0.6998708625231995,0.019371687104599345,0.00399063553167852,0.28039957346822697,1.5,0.196,0.1061748346277307,0.20468491830581925
51.650000000000006,0.3286220606465142,0.13837684341170145,1.0,0.1822373816575293,0.8057578904910007,0.700019649413659,0.01932004929246931,0.003983515561924852,0.28037009638664434,1.5,0.196,0.10617650681406546,0.20469571270008974
51.7,0.3286351205082653,0.13839325087857274,1.0,0.18223635084136586,0.8056582227569064,0.7001680509881428,0.01926858390432192,0.003976414413674246,0.28034060820595313,1.5,0.196,0.1061781703344768,0.20470644995329348
51.75,0.32864812131734933,0.13840959129781757,1.0,0.18223535340152786,0.8055586477859958,0.7003160669203716,0.019217290360072282,0.003969332035046966,0.28031110915637575,1.5,0.196,0.10617982514083922,0.2047171303392426
51.800000000000004,0.3286610630562063,0.13842586491097328,1.0,0.18223438860870111,0.8054591655215803,0.7004636968984634,0.01916616808154692,0.003962268374317337,0.28028159946680664,1.5,0.196,0.10618147119096775,0.20472775413954558
51.85,0.3286739457242302,0.13844207195741642,1.0,0.18223345573517888,0.805359775907204,0.7006109406251977,0.01911521649247606,0.0039552233799142935,0.2802520793647852,1.5,0.196,0.10618310844848788,0.2047383216433526
51.900000000000006,0.32868676933742524,0.13845821267447653,1.0,0.18223255405510166,0.8052604788866203,0.7007577978182665,0.01906443501848602,0.003948197000421896,0.28022254907646954,1.5,0.196,0.10618473688270594,0.20474883314710254
51.95,0.3286995339280633,0.13847428729754682,1.0,0.18223168284469124,0.8051612744037677,0.7009042682105135,0.019013823087091562,0.003941189184579813,0.2801930088266113,1.5,0.196,0.10618635646848074,0.20475928895427317
52.0,0.32871223954434264,0.13849029606019228,1.0,0.182230841382479,0.8050621624027464,0.7010503515501588,0.018963380127688334,0.003934199881283768,0.2801634588385315,1.5,0.196,0.10618796718609574,0.20476968937513446
52.050000000000004,0.32872488625004787,0.13850623919425462,1.0,0.18223002894952844,0.804963142827796,0.7011960476010128,0.018913105571545297,0.003927229039585955,0.2801338993340971,1.5,0.196,0.10618956902113227,0.20478003472650425
52.1,0.3287374741242112,0.13852211692995464,1.0,0.18222924482965216,0.804864215623273,0.701341356142677,0.018862998851797198,0.003920276608695415,0.28010433053369893,1.5,0.196,0.10619116196434357,0.20479032533150707
52.150000000000006,0.3287500032607757,0.1385379294959917,1.0,0.1822284883096231,0.8047653807336297,0.7014862769707328,0.018813059403437082,0.003913342537978387,0.2800747526562301,1.5,0.196,0.10619274601152995,0.20480056151933596
52.2,0.32876247376825934,0.13855367711964053,1.0,0.18222775867938026,0.8046666381033925,0.7016308098969192,0.01876328666330883,0.003906426776958625,0.2800451659190657,1.5,0.196,0.10619432116341479,0.20481074362501703
52.25,0.3287748857694216,0.13856936002684528,1.0,0.18222705523222887,0.8045679876771418,0.7017749547492975,0.018713680070099728,0.0038995292753176815,0.28001557053804305,1.5,0.196,0.10619588742552134,0.2048208719891767
52.300000000000004,0.32878723940093124,0.13858497844231085,1.0,0.18222637726503493,0.8044694293994921,0.7019187113724061,0.01866423906433309,0.003892649982895161,0.27998596672744325,1.5,0.196,0.1061974448080511,0.20483094695781304
52.35,0.32879953481303625,0.13860053258959176,1.0,0.18222572407841453,0.8043709632150722,0.7020620796274029,0.018614963088360897,0.0038857888496889445,0.2799563546999734,1.5,0.196,0.10619899332576253,0.2048409688820685
52.400000000000006,0.3288117721692355,0.13861602269117815,1.0,0.18222509497691744,0.8042725890685065,0.702205059392197,0.01856585158635648,0.0038789458258553845,0.27992673466674944,1.5,0.196,0.10620053299785139,0.204850938118007
52.45,0.3288239516459527,0.13863144896857937,1.0,0.18222448926920562,0.8041743069043965,0.7023476505615703,0.01851690400430725,0.0038721208617094683,0.27989710683728053,1.5,0.196,0.10620206384783176,0.20486085502639304
52.5,0.3288360734322121,0.138646811642405,1.0,0.1822239062682262,0.8040761166673028,0.7024898530472874,0.01846811979000747,0.003865313907724955,0.27986747141945345,1.5,0.196,0.1062035859034185,0.2048707199724746
52.550000000000004,0.32884813772931687,0.13866211093244332,1.0,0.18222334529137935,0.803978018301728,0.7026316667781953,0.018419498393051046,0.0038585249145344845,0.2798378286195185,1.5,0.196,0.1062050991964105,0.20488053332576878
52.6,0.32886014475052905,0.13867734705773732,1.0,0.18222280566068064,0.8038800117520992,0.7027730917003138,0.018371039264824383,0.0038517538329296565,0.2798081786420759,1.5,0.196,0.10620660376257524,0.20489029545985032
52.650000000000006,0.3288720947207526,0.1386925202366583,1.0,0.1822222867029186,0.8037820969627523,0.7029141277769144,0.018322741858499268,0.0038450006138610856,0.279778521690063,1.5,0.196,0.10620809964153453,0.20490000675214354
52.7,0.3288839878762179,0.13870763068697692,1.0,0.18222178774980682,0.8036842738779153,0.7030547749885908,0.018274605629025806,0.0038382652084384275,0.27974885796474236,1.5,0.196,0.10620958687665126,0.20490966758371712
52.75,0.3288958244641699,0.13872267862593216,1.0,0.18222130813813117,0.8035865424416937,0.7031950333333188,0.018226630033125402,0.003831547567930382,0.2797191876656906,1.5,0.196,0.10621106551491745,0.20491927833908205
52.800000000000004,0.3289076047425573,0.13873766427029754,1.0,0.18222084720989185,0.8034889025980549,0.703334902826507,0.018178814529283764,0.0038248476437646663,0.2796895109907881,1.5,0.196,0.10621253560684348,0.2049288394059926
52.85,0.32891932897972587,0.1387525878364454,1.0,0.1822204043124406,0.803391354290814,0.7034743835010386,0.01813115857774398,0.0038181653875279686,0.27965982813620915,1.5,0.196,0.10621399720634855,0.20493835117525042
52.900000000000006,0.328930997454113,0.13876744954040868,1.0,0.18221997879861293,0.8032938974636197,0.7036134754073038,0.018083661640499626,0.003811500750965873,0.27963013929641334,1.5,0.196,0.10621545037065222,0.2049478140405121
52.95,0.3289426104539461,0.13878224959794053,1.0,0.18221957002685546,0.8031965320599407,0.7037521786132233,0.018036323181287922,0.003804853685982764,0.2796004446641372,1.5,0.196,0.10621689516016736,0.20495722839809888
