theta,s,open_regime,closed_regime,final_regime,B_open,B_closed
0.22000000000000003,1.5500000000000003,closed,closed,closed,1.0,1.0
0.22000000000000003,1.6,closed,closed,closed,1.0,1.0
0.22999999999999998,0.4,open,open,open,0.012774324402898163,0.012774326054153374
0.22999999999999998,0.45,open,open,open,0.014103998008575057,0.014103999869531165
0.22999999999999998,0.5,open,open,open,0.0155702481994029,0.015570250362735969
0.22999999999999998,0.55,open,open,open,0.017186691085955698,0.017186693700920547
0.22999999999999998,0.6000000000000001,open,open,open,0.018968206532936304,0.018968209854599346
0.22999999999999998,0.6500000000000001,open,open,open,0.02093103373168543,0.020931038231280424
0.22999999999999998,0.7000000000000001,open,open,open,0.023092868706471294,0.023092875349120454
0.22999999999999998,0.7500000000000001,open,open,open,0.025472962266976915,0.025472973325064673
0.22999999999999998,0.8,open,open,open,0.02809221644589326,0.02809223843891359
0.22999999999999998,0.8500000000000001,open,open,open,0.030973276894447368,0.030973335145381597
0.22999999999999998,0.9000000000000001,open,open,open,0.034140618042592365,0.034140879316239096
0.22999999999999998,0.9500000000000002,open,open,open,0.03762061706103553,0.037624649840163726
0.22999999999999998,1.0,open,open,open,0.041441611792521815,0.05374302294946527
0.22999999999999998,1.0500000000000003,open,closed,bistable,0.04563393686318182,0.9651008571692818
0.22999999999999998,1.1,open,closed,bistable,0.05022993116904008,1.0
0.22999999999999998,1.1500000000000001,open,closed,bistable,0.05526390890502762,1.0
0.22999999999999998,1.2000000000000002,open,closed,bistable,0.060772085335629826,1.0
0.22999999999999998,1.2500000000000002,open,closed,bistable,0.06679244769838215,1.0
0.22999999999999998,1.3000000000000003,open,closed,bistable,0.07336456111660473,1.0
0.22999999999999998,1.35,open,closed,bistable,0.08052929934025144,1.0
0.22999999999999998,1.4000000000000004,open,closed,bistable,0.08832849072271212,1.0
0.22999999999999998,1.4500000000000002,open,closed,bistable,0.09680447127652511,1.0
0.22999999999999998,1.5000000000000004,open,closed,bistable,0.10599953911800025,1.0
0.22999999999999998,1.5500000000000003,open,closed,bistable,0.15038625427110286,1.0
0.22999999999999998,1.6,oscillatory,closed,oscillatory,0.9143626574949104,1.0
0.24,0.4,open,open,open,0.010110990360538183,0.010110991886063115
0.24,0.45,open,open,open,0.011165972480681925,0.011165974159910805
0.24,0.5,open,open,open,0.01232988751874889,0.01232988941442301
0.24,0.55,open,open,open,0.013613725472233593,0.013613727681134745
0.24,0.6000000000000001,open,open,open,0.015029526513518451,0.015029529191985297
0.24,0.6500000000000001,open,open,open,0.01659046781262645,0.01659047122904982
0.24,0.7000000000000001,open,open,open,0.01831095428348366,0.01831095893708529
0.24,0.7500000000000001,open,open,open,0.020206712549015425,0.020206719472453828
0.24,0.8,open,open,open,0.022294887121312616,0.02229489878280428
0.24,0.8500000000000001,open,open,open,0.024594137424465888,0.02459416108195684
0.24,0.9000000000000001,open,open,open,0.027124733839220237,0.027124798990459085
0.24,0.9500000000000002,open,open,open,0.029908650410645336,0.029908971698729477
0.24,1.0,open,open,open,0.032969651224611055,0.032976539265018256
0.24,1.0500000000000003,open,intermediate,bistable,0.03633336672160025,0.2242166325077226
0.24,1.1,open,closed,bistable,0.04002735537885789,1.0
0.24,1.1500000000000001,open,closed,bistable,0.04408114526489083,1.0
