sigma,s,theta,rhoP,prob_closed_open_start,mean_B,std_B
0.23333333333333334,0.8142857142857143,0.196,0.02,0.0,0.35265776995093945,0.02303730511658913
0.23333333333333334,0.8714285714285714,0.196,0.02,0.0,0.35821027059724625,0.02315421168676392
0.23333333333333334,0.9285714285714286,0.196,0.02,0.0,0.363811826737742,0.0232716101693745
0.23333333333333334,0.9857142857142858,0.196,0.02,0.0,0.3694670516385933,0.023389668990090772
0.23333333333333334,1.0428571428571427,0.196,0.02,0.0,0.37518094216266756,0.02350855144341808
0.23333333333333334,1.1,0.196,0.02,0.0,0.3809589097308818,0.023628415348478725
0.23333333333333334,1.157142857142857,0.196,0.02,0.0,0.38680681437882425,0.023749412467703193
0.23333333333333334,1.2142857142857144,0.196,0.02,0.0,0.39273100195768235,0.023871687649338263
0.23333333333333334,1.2714285714285714,0.196,0.02,0.0,0.3987383444361123,0.023995377644094935
0.23333333333333334,1.3285714285714287,0.196,0.02,0.0,0.4048362831232107,0.024120609533265586
0.23333333333333334,1.3857142857142857,0.196,0.02,0.0,0.41103287443622827,0.024247498689765067
0.23333333333333334,1.4428571428571428,0.196,0.02,0.0,0.4173368375592757,0.02437614617427813
0.23333333333333334,1.5,0.196,0.02,0.0,0.423757602954563,0.0245066354455585
0.26666666666666666,0.7,0.196,0.02,0.0,0.3725385532030217,0.024204637675967575
0.26666666666666666,0.7571428571428571,0.196,0.02,0.0,0.3775054208478216,0.024309950446949363
0.26666666666666666,0.8142857142857143,0.196,0.02,0.0,0.3825077384322388,0.024416219120518445
0.26666666666666666,0.8714285714285714,0.196,0.02,0.0,0.38754906586001253,0.024523542567029304
0.26666666666666666,0.9285714285714286,0.196,0.02,0.0,0.39263324957906703,0.02463201738132794
0.26666666666666666,0.9857142857142858,0.196,0.02,0.0,0.3977644470145848,0.024741737790904834
0.26666666666666666,1.0428571428571427,0.196,0.02,0.0,0.4029471534768497,0.02485279543648065
0.26666666666666666,1.1,0.196,0.02,0.0,0.4081862316764815,0.02496527899980371
0.26666666666666666,1.157142857142857,0.196,0.02,0.0,0.41348694395074065,0.0250792736468808
0.26666666666666666,1.2142857142857144,0.196,0.02,0.0,0.41885498725499676,0.025194860246474507
0.26666666666666666,1.2714285714285714,0.196,0.02,0.0,0.4242965308947915,0.025312114313009348
0.26666666666666666,1.3285714285714287,0.196,0.02,0.0,0.42981825685497466,0.0254311046095686
0.26666666666666666,1.3857142857142857,0.196,0.02,0.0,0.4354274024083557,0.02555189132992906
0.26666666666666666,1.4428571428571428,0.196,0.02,0.0,0.4411318044379126,0.02567452375810523
0.26666666666666666,1.5,0.196,0.02,0.03333333333333333,0.4469399445591212,0.025799037279264886
0.3,0.7,0.196,0.02,0.0,0.39863548427854034,0.025379943874527043
0.3,0.7571428571428571,0.196,0.02,0.0,0.40316877859058153,0.025481128132289307
0.3,0.8142857142857143,0.196,0.02,0.0,0.4077334125644425,0.02558340596282226
