rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.16842105263157894,0.6368421052631579,open,open,open,0.02887867542119,0.08732028676189602,0.9018351824452197,0.40659637101438145,0.11815884283303758,0.34470521657639625
0.01,0.16842105263157894,0.7052631578947368,open,open,open,0.030014083433228412,0.0965487152868107,0.9017352925939685,0.4216657694418493,0.1193217681180305,0.34698832387613654
0.01,0.16842105263157894,0.7736842105263158,open,open,open,0.031233365272981563,0.1064182156823641,0.9016190181536278,0.4402341184391485,0.12049842361758524,0.3490921568144269
0.01,0.16842105263157894,0.8421052631578947,open,open,open,0.0326788314235473,0.11685063280354878,0.9015065825135795,0.46192146358452046,0.1222850087630229,0.3509364591080457
0.01,0.16842105263157894,0.9105263157894737,open,closed,bistable,0.03424116063042429,0.9883508348393397,0.9013694491332387,0.10933578053509525,0.12409899499785007,0.7578571356011773
0.01,0.16842105263157894,0.9789473684210527,open,closed,bistable,0.03600883681021284,1.0,0.9012130903827524,0.10276897825729875,0.1262473836069096,0.7654847256051972
0.01,0.16842105263157894,1.0473684210526315,open,closed,bistable,0.03827481453234628,1.0,0.9010439177838913,0.09959552686984466,0.1296883418496238,0.7682314273602463
0.01,0.16842105263157894,1.1157894736842104,open,closed,bistable,0.041432764781344104,1.0,0.9008356365871673,0.09760117470103122,0.13548846956723237,0.7696314568519294
0.01,0.16842105263157894,1.1842105263157894,open,closed,bistable,0.144592486315253,1.0,0.8795015035691701,0.09623180581029364,0.32348214288455607,0.7704730322919061
0.01,0.16842105263157894,1.2526315789473683,open,closed,bistable,0.1561874814917292,1.0,0.876115376966309,0.09525997117684806,0.32446860966297575,0.7709638324933882
0.01,0.16842105263157894,1.3210526315789475,open,closed,bistable,0.1681641768429153,1.0,0.8726165656025618,0.09456028127900042,0.32555223939320976,0.7712578939763881
0.01,0.16842105263157894,1.3894736842105264,open,closed,bistable,0.1804594507283953,1.0,0.8690661915311375,0.09407249656729744,0.32673067523701865,0.7714811707859093
0.01,0.16842105263157894,1.4578947368421054,open,closed,bistable,0.19304898543181598,1.0,0.8654835888326969,0.09373832519704126,0.3279958367754263,0.7716590762139877
0.01,0.16842105263157894,1.5263157894736843,intermediate,closed,bistable,0.20598331042734738,1.0,0.8617627278370983,0.09347402168009862,0.3293525449913754,0.7717200323445811
